SEQN,FIAINTRP,INDHHINC,SDMVPSU,DMDMARTL,MIALANG,DMDHRAGE,AIALANG,FIALANG,RIDAGEYR,DMDHRBRN,DMDYRSUS,DMDHHSIZ,WTINT2YR,MIAPROXY,SDDSRVYR,DMDHRGND,DMDBORN,RIDEXPRG,SIAPROXY,FIAPROXY,MIAINTRP,RIDAGEMN,INDFMINC,DMDHSEDU,INDFMPIR,RIDSTATR,RIAGENDR,DMDEDUC3,RIDRETH1,SDMVSTRA,SIAINTRP,DMQMILIT,RIDEXMON,DMDEDUC2,RIDAGEEX,DMDSCHOL,DMDCITZN,WTMEC2YR,DMDHRMAR,SIALANG,DMDHREDU,SourceYear
21009.0,2.0,8.0,2.0,1.0,1.0,55.0,1.0,1.0,55.0,1.0,,2.0,97593.678977,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,671.0,8.0,4.0,3.79,2.0,1.0,,3.0,31.0,2.0,2.0,2.0,3.0,672.0,,1.0,97731.727244,1.0,1.0,3.0,2003
21010.0,2.0,6.0,1.0,6.0,1.0,54.0,1.0,1.0,52.0,1.0,,3.0,39599.362689,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,633.0,4.0,,1.24,2.0,2.0,,3.0,29.0,2.0,2.0,2.0,4.0,634.0,,1.0,43286.576474,6.0,1.0,1.0,2003
21012.0,2.0,2.0,2.0,6.0,,63.0,,1.0,63.0,1.0,,2.0,12629.44048,,3.0,1.0,1.0,,2.0,2.0,,765.0,2.0,,0.89,2.0,1.0,,4.0,33.0,2.0,2.0,2.0,3.0,766.0,,1.0,12947.338142,6.0,1.0,3.0,2003
21015.0,2.0,4.0,2.0,1.0,1.0,82.0,,1.0,83.0,1.0,,2.0,17625.875727,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,1006.0,4.0,4.0,1.2,2.0,1.0,,3.0,33.0,2.0,1.0,2.0,4.0,1007.0,,1.0,19994.159857,1.0,1.0,4.0,2003
21019.0,2.0,4.0,1.0,1.0,2.0,30.0,2.0,2.0,50.0,2.0,2.0,7.0,14746.454143,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,606.0,1.0,1.0,0.16,2.0,2.0,,1.0,41.0,2.0,2.0,2.0,1.0,607.0,,2.0,15876.718692,1.0,2.0,2.0,2003
21020.0,2.0,6.0,1.0,1.0,1.0,60.0,1.0,1.0,55.0,1.0,,2.0,28232.099986,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,666.0,6.0,2.0,2.48,2.0,2.0,,4.0,38.0,2.0,2.0,1.0,2.0,667.0,,1.0,29102.083555,1.0,1.0,4.0,2003
21033.0,2.0,1.0,1.0,3.0,1.0,57.0,1.0,1.0,57.0,1.0,,1.0,24726.391197,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,687.0,1.0,,0.33,2.0,2.0,,4.0,41.0,2.0,2.0,2.0,3.0,688.0,,1.0,25488.344933,3.0,1.0,3.0,2003
21039.0,2.0,2.0,2.0,2.0,1.0,84.0,,1.0,84.0,1.0,,1.0,16214.261473,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,1011.0,2.0,,0.92,2.0,2.0,,3.0,30.0,2.0,2.0,2.0,3.0,1011.0,,1.0,18569.113477,2.0,1.0,3.0,2003
21050.0,2.0,5.0,2.0,1.0,1.0,69.0,,1.0,69.0,1.0,,2.0,59114.508981,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,828.0,5.0,3.0,1.92,2.0,1.0,,3.0,32.0,2.0,2.0,2.0,3.0,828.0,,1.0,65554.824291,1.0,1.0,3.0,2003
21051.0,2.0,11.0,2.0,1.0,1.0,55.0,1.0,1.0,55.0,1.0,,2.0,76894.563087,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,670.0,11.0,4.0,5.0,2.0,1.0,,3.0,30.0,2.0,2.0,2.0,3.0,671.0,,1.0,77003.332029,1.0,1.0,3.0,2003
21054.0,2.0,9.0,2.0,1.0,1.0,59.0,1.0,1.0,59.0,1.0,,2.0,78406.810577,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,712.0,9.0,3.0,4.48,2.0,2.0,,3.0,39.0,2.0,2.0,1.0,4.0,712.0,,1.0,85590.43514,1.0,1.0,4.0,2003
21055.0,2.0,3.0,2.0,5.0,1.0,73.0,,1.0,73.0,2.0,6.0,1.0,8899.629136,2.0,3.0,2.0,2.0,,2.0,2.0,2.0,878.0,3.0,,1.47,2.0,2.0,,1.0,36.0,2.0,2.0,1.0,1.0,879.0,,1.0,8976.093322,5.0,1.0,1.0,2003
21058.0,2.0,5.0,1.0,2.0,1.0,46.0,,1.0,78.0,,,2.0,10198.041423,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,943.0,5.0,,1.82,2.0,1.0,,4.0,41.0,2.0,1.0,2.0,1.0,945.0,,1.0,11283.840639,3.0,1.0,,2003
21059.0,2.0,11.0,2.0,1.0,1.0,51.0,1.0,1.0,51.0,1.0,,3.0,98200.911672,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,612.0,11.0,5.0,5.0,2.0,2.0,,3.0,36.0,2.0,2.0,1.0,5.0,614.0,,1.0,104658.320578,1.0,1.0,5.0,2003
21061.0,2.0,5.0,1.0,1.0,1.0,71.0,,1.0,71.0,1.0,,2.0,28463.044382,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,852.0,5.0,3.0,1.76,2.0,1.0,,3.0,33.0,2.0,2.0,2.0,2.0,853.0,,1.0,28780.980927,1.0,1.0,2.0,2003
21065.0,2.0,11.0,1.0,1.0,1.0,52.0,1.0,1.0,52.0,1.0,,4.0,87786.090544,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,624.0,11.0,5.0,5.0,2.0,1.0,,3.0,40.0,2.0,2.0,1.0,5.0,626.0,,1.0,91954.890775,1.0,1.0,5.0,2003
21066.0,2.0,3.0,2.0,3.0,1.0,76.0,,1.0,76.0,1.0,,2.0,45695.98911,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,913.0,3.0,,0.8,2.0,2.0,,2.0,35.0,2.0,2.0,1.0,3.0,913.0,,1.0,49105.357375,3.0,1.0,3.0,2003
21068.0,2.0,3.0,2.0,3.0,1.0,57.0,1.0,1.0,57.0,1.0,,1.0,45002.91726,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,695.0,3.0,,1.07,2.0,2.0,,3.0,34.0,2.0,1.0,2.0,1.0,695.0,,1.0,47705.714553,3.0,1.0,1.0,2003
21069.0,2.0,1.0,1.0,1.0,2.0,70.0,,1.0,70.0,2.0,9.0,3.0,2643.7209,2.0,3.0,1.0,2.0,,2.0,2.0,2.0,841.0,1.0,1.0,0.08,2.0,1.0,,1.0,40.0,2.0,2.0,1.0,1.0,842.0,,2.0,2705.019605,1.0,2.0,1.0,2003
21080.0,2.0,7.0,2.0,1.0,1.0,75.0,,1.0,60.0,3.0,,3.0,50920.106741,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,724.0,7.0,4.0,2.55,2.0,2.0,,3.0,39.0,2.0,2.0,2.0,4.0,726.0,,1.0,50900.61723,1.0,1.0,4.0,2003
21083.0,2.0,3.0,2.0,3.0,2.0,80.0,,1.0,80.0,1.0,,4.0,4981.254097,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,962.0,3.0,,1.18,2.0,2.0,,1.0,38.0,1.0,2.0,1.0,1.0,963.0,,1.0,5167.559361,3.0,1.0,1.0,2003
21084.0,2.0,9.0,1.0,1.0,1.0,57.0,1.0,1.0,57.0,1.0,,2.0,91437.144709,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,692.0,9.0,3.0,4.62,2.0,2.0,,3.0,34.0,2.0,2.0,1.0,4.0,693.0,,1.0,93163.4704,1.0,1.0,4.0,2003
21090.0,2.0,11.0,1.0,1.0,1.0,63.0,1.0,1.0,56.0,1.0,,3.0,22420.209153,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,674.0,11.0,2.0,5.0,2.0,1.0,,4.0,41.0,2.0,2.0,2.0,2.0,675.0,,1.0,23461.369864,1.0,1.0,3.0,2003
21099.0,2.0,,2.0,1.0,1.0,75.0,,1.0,75.0,1.0,,2.0,32961.234538,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,904.0,13.0,4.0,,2.0,1.0,,3.0,39.0,2.0,2.0,2.0,3.0,904.0,,1.0,35899.590061,1.0,1.0,3.0,2003
21104.0,2.0,11.0,2.0,1.0,1.0,60.0,,1.0,70.0,1.0,,2.0,11319.285908,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,846.0,11.0,1.0,5.0,2.0,1.0,,4.0,35.0,2.0,2.0,1.0,1.0,847.0,,1.0,12524.465537,1.0,1.0,7.0,2003
21112.0,1.0,3.0,1.0,1.0,1.0,76.0,,1.0,76.0,3.0,4.0,2.0,35353.093192,1.0,3.0,1.0,3.0,,2.0,2.0,1.0,916.0,3.0,1.0,0.99,2.0,1.0,,5.0,34.0,1.0,2.0,1.0,1.0,916.0,,2.0,38161.24767,1.0,1.0,1.0,2003
21118.0,2.0,3.0,1.0,6.0,1.0,66.0,,1.0,66.0,1.0,,2.0,3300.106301,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,801.0,3.0,,1.39,2.0,1.0,,1.0,34.0,2.0,2.0,1.0,1.0,801.0,,1.0,3504.452341,6.0,1.0,1.0,2003
21120.0,2.0,6.0,2.0,3.0,1.0,84.0,,1.0,60.0,1.0,,3.0,43971.085379,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,731.0,6.0,,2.21,2.0,2.0,,3.0,30.0,2.0,2.0,2.0,4.0,732.0,,1.0,45999.318869,2.0,1.0,5.0,2003
21124.0,2.0,3.0,2.0,2.0,1.0,55.0,1.0,1.0,55.0,1.0,,1.0,28051.676686,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,662.0,3.0,,1.34,2.0,1.0,,4.0,31.0,2.0,1.0,2.0,4.0,663.0,,1.0,27905.865789,2.0,1.0,4.0,2003
21132.0,2.0,9.0,2.0,1.0,1.0,59.0,1.0,1.0,59.0,3.0,7.0,3.0,64918.363359,2.0,3.0,1.0,3.0,,2.0,2.0,2.0,713.0,9.0,5.0,4.15,2.0,1.0,,4.0,29.0,2.0,2.0,2.0,3.0,714.0,,1.0,67933.074277,1.0,1.0,3.0,2003
21136.0,2.0,9.0,1.0,1.0,1.0,67.0,,1.0,72.0,1.0,,2.0,28463.044382,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,865.0,9.0,3.0,4.96,2.0,1.0,,3.0,33.0,2.0,1.0,2.0,3.0,866.0,,1.0,28780.980927,1.0,1.0,4.0,2003
21143.0,2.0,8.0,1.0,3.0,1.0,65.0,,1.0,65.0,1.0,,1.0,59803.104073,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,781.0,8.0,,5.0,2.0,1.0,,3.0,31.0,2.0,2.0,2.0,2.0,782.0,,1.0,65193.796119,3.0,1.0,2.0,2003
21149.0,2.0,6.0,2.0,3.0,1.0,63.0,,1.0,63.0,3.0,5.0,4.0,12826.580767,2.0,3.0,2.0,3.0,,2.0,2.0,2.0,759.0,3.0,,1.29,2.0,2.0,,4.0,41.0,2.0,2.0,2.0,4.0,760.0,,1.0,12792.283298,3.0,1.0,4.0,2003
21156.0,2.0,99.0,2.0,2.0,2.0,67.0,,2.0,67.0,2.0,7.0,3.0,4547.035486,2.0,3.0,2.0,2.0,,2.0,2.0,2.0,808.0,99.0,,,2.0,2.0,,1.0,38.0,2.0,2.0,1.0,1.0,809.0,,1.0,4702.397114,2.0,2.0,1.0,2003
21158.0,2.0,3.0,1.0,2.0,2.0,71.0,,1.0,71.0,1.0,,1.0,4289.956173,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,859.0,3.0,,1.11,2.0,2.0,,1.0,34.0,2.0,2.0,1.0,3.0,860.0,,1.0,4309.962157,2.0,1.0,3.0,2003
21159.0,2.0,4.0,1.0,2.0,1.0,20.0,1.0,1.0,51.0,1.0,,3.0,39599.362689,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,622.0,4.0,,1.05,2.0,2.0,,3.0,29.0,2.0,2.0,2.0,3.0,623.0,,1.0,41521.936396,5.0,1.0,2.0,2003
21165.0,2.0,3.0,1.0,2.0,1.0,75.0,,1.0,75.0,1.0,,1.0,51419.362079,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,907.0,3.0,,1.22,2.0,2.0,,3.0,32.0,2.0,2.0,2.0,1.0,907.0,,1.0,58408.021583,2.0,1.0,1.0,2003
